rank,player,team,position,age,minutes,games,epm,prior_war,projected_war,fair_value,actual_salary,opening_price,tier
1,nikola jokic,DENVER NUGGETS,C,30.0,2264.7,65,7.643,13.33,8.75,44958736,59033114,46366174,star
2,shai gilgeous-alexander,OKLAHOMA CITY THUNDER,PG,27.0,2258.8,67,8.285,12.45,8.9,45692963,40806150,45204281,star
3,luka doncic,LOS ANGELES LAKERS,PG,26.0,2288.4,64,7.519,10.73,8.08,41613441,48967380,42348835,star
4,victor wembanyama,SAN ANTONIO SPURS,C,22.0,1865.5,62,8.708,11.25,8.67,44559281,16868246,41790178,star
5,kawhi leonard,LOS ANGELES CLIPPERS,SF,34.0,2084.7,64,7.561,9.62,7.13,36851409,50300000,38196268,star
6,cade cunningham,DETROIT PISTONS,PG,24.0,2171.4,63,4.426,10.44,6.7,34699595,50105628,36240199,star
7,derrick white,BOSTON CELTICS,SG,31.0,2624.8,76,4.12,11.43,6.84,35386466,30348000,34882619,star
8,donovan mitchell,CLEVELAND CAVALIERS,SG,29.0,2341.9,69,4.74,8.58,6.06,31505765,50105628,33365751,star
9,bam adebayo,MIAMI HEAT,C,28.0,2364.6,68,4.305,8.75,6.0,31224438,51033600,33205355,star
10,tyrese maxey,PHILADELPHIA 76ERS,PG,25.0,2660.9,69,3.379,8.95,6.07,31538328,40770520,32461547,star
11,chet holmgren,OKLAHOMA CITY THUNDER,PF,23.0,1997.1,68,5.408,9.28,6.66,34509323,13731368,32431528,star
12,scottie barnes,TORONTO RAPTORS,PF,24.0,2680.6,78,2.943,9.12,6.01,31244087,41754636,32295142,star
13,karl-anthony towns,NEW YORK KNICKS,C,30.0,2321.5,73,3.932,7.97,5.44,28422441,57078728,31288069,star
14,amen thompson,HOUSTON ROCKETS,PG,23.0,2952.9,78,3.822,8.31,6.37,33051692,12258609,30972383,star
15,kevin durant,HOUSTON ROCKETS,SF,37.0,2839.6,77,3.431,8.59,5.42,28322086,54708609,30960739,star
16,lamelo ball,CHARLOTTE HORNETS,PG,24.0,2017.1,71,5.291,6.59,5.68,29599919,40770520,30716979,star
17,devin booker,PHOENIX SUNS,SG,29.0,2146.2,63,4.168,6.64,5.03,26359587,57078728,29431501,mid
18,jamal murray,DENVER NUGGETS,PG,28.0,2651.7,75,3.152,6.39,4.95,25947368,50105628,28363194,mid
19,dyson daniels,ATLANTA HAWKS,SG,22.0,2519.3,75,3.87,7.48,5.85,30464642,7707709,28188949,mid
20,giannis antetokounmpo,MILWAUKEE BUCKS,PF,31.0,1039.2,35,6.901,4.85,4.67,24559070,58456490,27948812,mid
21,jalen brunson,NEW YORK KNICKS,PG,29.0,2589.5,72,2.995,7.35,5.1,26686260,37739521,27791586,mid
22,evan mobley,CLEVELAND CAVALIERS,PF,24.0,2074.1,64,2.737,7.15,4.82,25309756,50105628,27789343,mid
23,desmond bane,ORLANDO MAGIC,SG,27.0,2755.9,80,2.21,7.16,4.94,25880984,39446090,27237495,mid
24,jalen duren,DETROIT PISTONS,C,22.0,1975.8,70,3.975,7.9,5.64,29390883,6483144,27100109,mid
25,jaylen brown,BOSTON CELTICS,SF,29.0,2442.7,70,2.355,6.08,4.3,22689400,57078728,26128333,mid
26,kon knueppel,CHARLOTTE HORNETS,SF,20.0,2550.5,80,3.319,4.94,4.92,25780776,0,25780776,mid
27,donovan clingan,PORTLAND TRAIL BLAZERS,C,21.0,2093.3,76,2.934,7.64,5.25,27464979,7519920,25470473,mid
28,de'aaron fox,SAN ANTONIO SPURS,PG,28.0,2231.0,70,3.312,5.81,4.51,23774956,37096620,25107123,mid
29,og anunoby,NEW YORK KNICKS,PF,28.0,2223.7,65,2.864,5.96,4.37,23042310,42500000,24988079,mid
30,anthony edwards,MINNESOTA TIMBERWOLVES,SG,24.0,2136.5,59,2.718,5.01,4.15,21972750,48924624,24667937,mid
31,collin gillespie,PHOENIX SUNS,PG,26.0,2281.6,79,2.925,6.25,4.64,24420178,0,24420178,mid
32,mikal bridges,NEW YORK KNICKS,SF,29.0,2691.6,80,1.29,7.9,4.63,24349368,24900000,24404431,mid
33,jalen johnson,ATLANTA HAWKS,SF,24.0,2531.4,71,2.123,5.88,4.48,23590757,30000000,24231682,mid
34,immanuel quickley,TORONTO RAPTORS,PG,26.0,2231.1,69,2.057,6.61,4.36,22990587,32500000,23941528,mid
35,rudy gobert,MINNESOTA TIMBERWOLVES,C,33.0,2379.8,74,2.692,6.38,4.27,22537387,36500000,23933649,mid
36,neemias queta,BOSTON CELTICS,C,26.0,1925.9,75,3.547,7.37,5.02,26281347,2667944,23920006,mid
37,payton pritchard,BOSTON CELTICS,PG,28.0,2555.3,78,2.69,7.01,4.89,25628073,7767857,23842051,mid
38,stephen curry,GOLDEN STATE WARRIORS,PG,37.0,1328.6,42,4.893,4.64,3.63,19328257,62587158,23654147,mid
39,james harden,CLEVELAND CAVALIERS,PG,36.0,2438.4,69,2.35,6.97,4.19,22154981,36346154,23574099,mid
40,ausar thompson,DETROIT PISTONS,SF,23.0,1895.3,71,3.251,6.25,4.67,24536365,11117925,23194521,mid
41,pascal siakam,INDIANA PACERS,PF,31.0,2056.5,61,3.059,4.4,3.64,19408870,48924624,22360446,mid
42,lauri markkanen,UTAH JAZZ,PF,28.0,1442.5,42,3.99,4.23,3.7,19699046,46113154,22340456,mid
43,joel embiid,PHILADELPHIA 76ERS,C,31.0,1200.5,38,4.808,3.15,3.34,17911839,59539200,22074575,mid
44,alperen sengun,HOUSTON ROCKETS,C,23.0,2397.3,71,1.231,5.29,3.86,20507627,35642202,22021085,mid
45,deni avdija,PORTLAND TRAIL BLAZERS,SF,25.0,2199.1,65,2.593,5.73,4.33,22846730,13125000,21874557,mid
46,nickeil alexander-walker,ATLANTA HAWKS,SG,27.0,2603.1,77,2.747,4.37,4.13,21845774,0,21845774,mid
47,stephon castle,SAN ANTONIO SPURS,PG,21.0,2037.6,66,2.924,5.01,4.34,22881827,10015920,21595236,mid
48,jarrett allen,CLEVELAND CAVALIERS,C,27.0,1519.0,55,4.149,4.37,3.92,20815826,28000000,21534244,mid
49,jabari smith jr.,HOUSTON ROCKETS,PF,22.0,2705.1,76,1.216,5.56,4.23,22354067,12350392,21353700,mid
50,cason wallace,OKLAHOMA CITY THUNDER,SG,22.0,2045.8,76,2.32,5.93,4.33,22868721,7420806,21323929,mid
51,brandon miller,CHARLOTTE HORNETS,SF,23.0,1968.1,64,3.055,4.67,4.12,21776060,15104626,21108917,mid
52,austin reaves,LOS ANGELES LAKERS,SG,27.0,1761.5,51,3.365,5.34,4.09,21659549,14898786,20983472,mid
53,lebron james,LOS ANGELES LAKERS,SF,41.0,1989.0,60,2.16,6.15,3.23,17340755,52627153,20869395,mid
54,julian champagnie,SAN ANTONIO SPURS,SF,24.0,2265.8,80,2.065,5.68,4.19,22161267,3000000,20245140,mid
55,paolo banchero,ORLANDO MAGIC,PF,23.0,2501.6,70,1.039,5.23,3.84,20392442,15334769,19886675,mid
56,trey murphy iii,NEW ORLEANS PELICANS,SF,25.0,2340.4,65,1.589,4.4,3.57,19035496,27000000,19831946,mid
57,julius randle,MINNESOTA TIMBERWOLVES,PF,31.0,2610.2,77,1.649,4.44,3.47,18536542,30935520,19776440,mid
58,jalen suggs,ORLANDO MAGIC,PG,24.0,1573.4,56,2.345,4.56,3.43,18359039,32400000,19763135,mid
59,vj edgecombe,PHILADELPHIA 76ERS,SG,20.0,2623.1,74,0.873,4.05,3.64,19377566,0,19377566,mid
